date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-09,IIEW,Iraqi Engineering Works,,,,5.04,,,0.0,,0.0
2026-09-09,IHLI,Al-Hilal Industries,,,,1.4,,,0.0,,0.0
2026-09-09,IKHC,Al -Khazer Construction Materials,,,,1.19,,,0.0,,0.0
2026-09-09,IKLV,Al-Kindi of Veterinary Vaccines,,,,2.69,,,0.0,,0.0
2026-09-09,IRMC,Ready Made Clothes ,,,,2.25,,,0.0,,0.0
2026-09-09,HBAY,Babylon Hotel,,,,108.0,,,0.0,,0.0
2026-09-09,AIPM,Agricultural Products Meat,,,,4.7,,,0.0,,0.0
2026-09-09,AMEF,Middle East for Production- Fish,,,,5.69,,,0.0,,0.0
2026-09-09,AAHP,Al-Ahlyia agricultural production,,,,2.11,,,0.0,,0.0
2026-09-09,AIRP,Iraqi Agricultural Products ,,,,11.0,,,0.0,,0.0
2026-09-09,BANS,AL-Anssari Islamic Bank,,,,0.05,,,0.0,,0.0
2026-09-09,BQAB,Al-Qabidh Islamic Bank,,,,0.07,,,0.0,,0.0
